obj_index,sn_matched_idx,error,Cluster,z,DA(GPC),SDA+,SDA-,sn_matched_m_b_corr,sn_matched_original_index,sn_matched_CID,sn_matched_zHD,sn_matched_m_b_corr_err_VPEC,sn_matched_PKMJD
33,1562,7.273818138475718e-06,MS 2053.7-0449,0.583,2.48,0.41,0.44,23.2878,1562,04D1jg,0.58301,0.0064,53273.6
22,1093,8.808786635811083e-06,Abell 1835,0.252,1.07,0.02,0.08,21.2168,1093,17552,0.25199,0.01,54357.4
0,1528,2.2374463157226465e-05,CL 0016+1609,0.541,1.38,0.22,0.22,23.0261,1528,110426,0.54097,0.0079,55548.0
28,828,4.6451527845187135e-05,Abell 2204 ,0.152,0.61,0.06,0.07,19.7947,828,2031,0.15195,0.0165,53636.9
20,1456,4.719090482935284e-05,RX J1347.5-1145 ,0.451,0.96,0.06,0.08,22.6751,1456,520016,0.45106,0.0574,56423.1
25,1261,5.083324603905037e-05,Abell 1995 ,0.322,1.19,0.15,0.14,21.4741,1261,120085,0.32206,0.0114,55571.2
35,1042,5.334535396389617e-05,RX J2129.7+0005,0.235,0.46,0.11,0.08,20.905,1042,1319366,0.23494,0.0116,57304.4
10,1161,6.064867199501167e-05,Abell 697,0.282,0.88,0.3,0.23,21.3456,1161,1317286,0.28207,0.0442,57015.4
11,991,7.1822074926009e-05,Abell 773 ,0.217,0.98,0.17,0.14,20.8402,991,7473,0.21692,0.056,53679.6
5,1566,7.269718099089939e-05,MACS J0647.7+7015,0.584,0.77,0.21,0.18,23.1669,1566,1338387,0.5839,0.0236,57364.1
8,1174,0.00012089104683171703,Abell 611 ,0.288,0.78,0.18,0.18,21.4545,1174,1334644,0.28814,0.01,57332.3
32,1012,0.00013416251665659962,Abell 2261 ,0.224,0.73,0.2,0.13,20.7632,1012,330083,0.22385,0.0153,55888.2
9,897,0.0001554780970188796,Abell 665 ,0.182,0.66,0.09,0.1,20.3333,897,17332,0.18217,0.0128,54358.1
4,1533,0.00015577411103107064,MS 0451.6-0305 ,0.55,1.42,0.26,0.23,23.0723,1533,050201,0.55021,0.0078,55354.5
2,1026,0.00017828765966285132,Abell 267 ,0.23,0.6,0.11,0.09,20.8753,1026,21033,0.2302,0.0531,54421.1
12,1185,0.0001982701106288398,ZW 3146,0.291,0.83,0.02,0.02,21.231,1185,19027,0.29123,0.0091,54386.6
6,860,0.0002207635110586248,Abell 586 ,0.171,0.52,0.15,0.12,20.2894,860,590005,0.17124,0.1375,56663.5
31,850,0.00023083157225187168,Abell 2259 ,0.164,0.58,0.29,0.25,20.0277,850,19174,0.16375,0.0155,54394.9
26,1024,0.00024973238047418245,Abell 2111,0.229,0.64,0.2,0.17,20.9699,1024,13072,0.22928,0.0108,53988.9
27,952,0.00028052312588960904,Abell 2163 ,0.202,0.52,0.04,0.05,20.3654,952,13152,0.20231,0.0117,54001.2
37,1408,0.00031384326900324444,MACS J2228.5+2036,0.412,1.22,0.24,0.23,22.5601,1408,520071,0.41161,0.0095,56461.5
23,1530,0.0003347719928915027,MACS J1423.8+2404,0.545,1.49,0.06,0.03,23.3103,1530,520041,0.54545,0.0079,56456.6
19,900,0.0004388411203945508,Abell 1689 ,0.183,0.65,0.09,0.09,20.5291,900,15453,0.18252,0.0143,54038.2
3,1369,0.0005261943784980461,Abell 370 ,0.375,1.08,0.19,0.2,22.2192,1369,16232,0.37436,0.0077,54045.3
24,859,0.000533626043338814,Abell 1914 ,0.171,0.44,0.04,0.05,20.2212,859,12856,0.17042,0.0135,53996.9
7,1614,0.0005541256455771082,MACS J0744.8+3927,0.686,1.68,0.48,0.38,23.7636,1614,04D4ic,0.68519,0.0068,53256.3
21,1270,0.0005746049364714345,MS 1358.4+6245 ,0.327,1.13,0.09,0.1,21.7974,1270,1308326,0.32632,0.0092,56976.2
29,875,0.0006054473129388782,Abell 2218 ,0.176,0.66,0.14,0.11,20.2634,875,14979,0.17666,0.0146,54025.6
16,808,0.0006164135525286996,Abell 1413 ,0.142,0.78,0.18,0.13,19.8707,808,1317666,0.14134,0.0175,57301.5
1,1098,0.0008180783326684204,Abell 68 ,0.255,0.63,0.16,0.19,21.2016,1098,5736,0.25407,0.0486,53665.8
18,1485,0.0008612159111175965,MACS J1311.0-0310,0.49,1.38,0.47,0.37,22.8312,1485,05D1ix,0.48888,0.0536,53719.4
34,1549,0.0008873042078264559,MACS J2129.4-0741 ,0.57,1.33,0.37,0.28,22.9877,1549,1317454,0.56879,0.0241,57015.5
36,1484,0.0010501638492228516,MACS J2214.9-1359,0.483,1.44,0.27,0.23,23.0525,1484,120044,0.48164,0.0086,55570.4
15,1529,0.0018476718338159004,MACS J1149.5+2223 ,0.544,0.8,0.19,0.16,23.277,1529,1324542,0.54152,0.0067,57043.5
14,1666,0.0026221571505052887,MS 1137.5+6625,0.784,2.85,0.52,0.63,24.0512,1666,05D4cs,0.78807,0.0357,53588.6
13,1671,0.008652740988838059,MS 1054.5-0321 ,0.826,1.33,0.28,0.26,24.107,1671,Elvis,0.83981,0.0175,52783.7
30,1670,0.009149722199242927,RX J1716.4+6708,0.813,1.04,0.51,0.43,24.1808,1670,03D1fq,0.79863,0.0353,52999.1
