obj_index,sn_matched_idx,error,Cluster,z,DA(GPC),SDA+,SDA-,sn_matched_original_index,sn_matched_zHD,sn_matched_m_b_corr
33,1562,7.2173923191254374e-06,MS 2053.7-0449,0.583,2.48,0.41,0.44,1562,0.58301,23.2878
22,1093,8.77607586013962e-06,Abell 1835,0.252,1.07,0.02,0.08,1093,0.25199,21.2168
0,1528,2.2210795382837656e-05,CL 0016+1609,0.541,1.38,0.22,0.22,1528,0.54097,23.0261
28,828,4.6345900598487866e-05,Abell 2204 ,0.152,0.61,0.06,0.07,828,0.15195,19.7947
20,1456,4.6893762896071944e-05,RX J1347.5-1145 ,0.451,0.96,0.06,0.08,1456,0.45106,22.6751
25,1261,5.059581979599548e-05,Abell 1995 ,0.322,1.19,0.15,0.14,1261,0.32206,21.4741
35,1042,5.316004179281575e-05,RX J2129.7+0005,0.235,0.46,0.11,0.08,1042,0.23494,20.905
10,1161,6.039820217768055e-05,Abell 697,0.282,0.88,0.3,0.23,1161,0.28207,21.3456
11,991,7.15909724071373e-05,Abell 773 ,0.217,0.98,0.17,0.14,991,0.21692,20.8402
5,1566,7.21325350697688e-05,MACS J0647.7+7015,0.584,0.77,0.21,0.18,1566,0.5839,23.1669
8,1174,0.0001203817957765585,Abell 611 ,0.288,0.78,0.18,0.18,1174,0.28814,21.4545
32,1012,0.0001337174907228844,Abell 2261 ,0.224,0.73,0.2,0.13,1012,0.22385,20.7632
4,1533,0.00015461939522298795,MS 0451.6-0305 ,0.55,1.42,0.26,0.23,1533,0.55021,23.0723
9,897,0.0001550560176441229,Abell 665 ,0.182,0.66,0.09,0.1,897,0.18217,20.3333
2,1026,0.00017768062095230297,Abell 267 ,0.23,0.6,0.11,0.09,1026,0.2302,20.8753
12,1185,0.00019742666228511618,ZW 3146,0.291,0.83,0.02,0.02,1185,0.29123,21.231
6,860,0.00022019949609994316,Abell 586 ,0.171,0.52,0.15,0.12,860,0.17124,20.2894
31,850,0.00023026631534689423,Abell 2259 ,0.164,0.58,0.29,0.25,850,0.16375,20.0277
26,1024,0.00024888548703597135,Abell 2111,0.229,0.64,0.2,0.17,1024,0.22928,20.9699
27,952,0.0002796800801047883,Abell 2163 ,0.202,0.52,0.04,0.05,952,0.20231,20.3654
37,1408,0.00031201596525487485,MACS J2228.5+2036,0.412,1.22,0.24,0.23,1408,0.41161,22.5601
23,1530,0.0003323078906865007,MACS J1423.8+2404,0.545,1.49,0.06,0.03,1530,0.54545,23.3103
19,900,0.00043764548209521137,Abell 1689 ,0.183,0.65,0.09,0.09,900,0.18252,20.5291
3,1369,0.0005233755483750602,Abell 370 ,0.375,1.08,0.19,0.2,1369,0.37436,22.2192
24,859,0.0005322659135364172,Abell 1914 ,0.171,0.44,0.04,0.05,859,0.17042,20.2212
7,1614,0.0005492767996149173,MACS J0744.8+3927,0.686,1.68,0.48,0.38,1614,0.68519,23.7636
21,1270,0.0005718857675990341,MS 1358.4+6245 ,0.327,1.13,0.09,0.1,1270,0.32632,21.7974
29,875,0.0006038544409873725,Abell 2218 ,0.176,0.66,0.14,0.11,875,0.17666,20.2634
16,808,0.0006151056003700917,Abell 1413 ,0.142,0.78,0.18,0.13,808,0.14134,19.8707
1,1098,0.0008150113937685777,Abell 68 ,0.255,0.63,0.16,0.19,1098,0.25407,21.2016
18,1485,0.0008554084831252085,MACS J1311.0-0310,0.49,1.38,0.47,0.37,1485,0.48888,22.8312
34,1549,0.0008805461575507323,MACS J2129.4-0741 ,0.57,1.33,0.37,0.28,1549,0.56879,22.9877
36,1484,0.0010431678489609686,MACS J2214.9-1359,0.483,1.44,0.27,0.23,1484,0.48164,23.0525
15,1529,0.0018341209218781795,MACS J1149.5+2223 ,0.544,0.8,0.19,0.16,1529,0.54152,23.277
14,1666,0.0025969623405048825,MS 1137.5+6625,0.784,2.85,0.52,0.63,1666,0.78807,24.0512
13,1671,0.008566451588002288,MS 1054.5-0321 ,0.826,1.33,0.28,0.26,1671,0.83981,24.107
30,1670,0.009060378108065481,RX J1716.4+6708,0.813,1.04,0.51,0.43,1670,0.79863,24.1808
17,1673,0.02131190473944411,CL J1226.9+3332 ,0.89,1.08,0.42,0.28,1673,0.85482,24.3638
